target,Accuracy,Precision,Recall,F1,gt_instances_in_region
104.16.123.96,0.2745098039215686,1.0,0.2745098039215686,0.4307692307692308,55
192.112.36.4,0.0,0.0,0.0,0.0,2
192.203.230.10,0.3584905660377358,0.95,0.3653846153846153,0.5277777777777778,66
192.33.4.12,0.5,1.0,0.5,0.6666666666666666,4
192.36.148.17,0.4583333333333333,1.0,0.4583333333333333,0.6285714285714286,27
192.5.5.241,0.3090909090909091,0.9444444444444444,0.3148148148148148,0.4722222222222222,69
192.58.128.30,0.3421052631578947,0.9285714285714286,0.3513513513513513,0.5098039215686275,40
193.0.14.129,0.358974358974359,1.0,0.358974358974359,0.5283018867924528,43
198.41.0.4,0.5,1.0,0.5,0.6666666666666666,6
198.97.190.53,1.0,1.0,1.0,1.0,2
199.7.83.42,0.2258064516129032,0.875,0.2333333333333333,0.3684210526315789,42
199.7.91.13,0.3333333333333333,0.9375,0.3409090909090909,0.5,52
199.9.14.201,0.0,0.0,0.0,0.0,1
202.12.27.33,0.0,0.0,0.0,0.0,1
