validation,country_positives,country_negatives,country_indeterminates,precision,moment_of_campaign,filename
ip_all_validation,24,0,27,1.0,20230606_21∶51∶18,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230606_21∶51∶18.csv
ip_last_hop_validation,26,0,25,1.0,20230606_21∶51∶18,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230606_21∶51∶18.csv
ip_target_validation,35,0,16,1.0,20230606_21∶51∶18,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230606_21∶51∶18.csv
no_ip_validation,42,0,9,1.0,20230606_21∶51∶18,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230606_21∶51∶18.csv
ip_all_validation,24,1,30,0.96,20230613_09:23:20,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230613_09:23:20.csv
ip_last_hop_validation,26,1,28,0.9629629629629629,20230613_09:23:20,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230613_09:23:20.csv
ip_target_validation,38,3,14,0.926829268292683,20230613_09:23:20,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230613_09:23:20.csv
no_ip_validation,44,3,8,0.9361702127659575,20230613_09:23:20,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230613_09:23:20.csv
ip_all_validation,34,0,21,1.0,20230615_10:15:33,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230615_10:15:33.csv
ip_last_hop_validation,34,0,21,1.0,20230615_10:15:33,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230615_10:15:33.csv
ip_target_validation,46,0,9,1.0,20230615_10:15:33,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230615_10:15:33.csv
no_ip_validation,49,0,6,1.0,20230615_10:15:33,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230615_10:15:33.csv
ip_all_validation,19,0,34,1.0,20230615_22:17:18,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230615_22:17:18.csv
ip_last_hop_validation,20,0,33,1.0,20230615_22:17:18,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230615_22:17:18.csv
ip_target_validation,36,0,17,1.0,20230615_22:17:18,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230615_22:17:18.csv
no_ip_validation,43,1,9,0.9772727272727273,20230615_22:17:18,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230615_22:17:18.csv
ip_all_validation,24,0,30,1.0,20230616_22:26:32,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230616_22:26:32.csv
ip_last_hop_validation,26,0,28,1.0,20230616_22:26:32,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230616_22:26:32.csv
ip_target_validation,39,1,14,0.975,20230616_22:26:32,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230616_22:26:32.csv
no_ip_validation,44,1,9,0.9777777777777777,20230616_22:26:32,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230616_22:26:32.csv
ip_all_validation,21,0,33,1.0,20230617_10:24:41,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230617_10:24:41.csv
ip_last_hop_validation,21,1,32,0.9545454545454546,20230617_10:24:41,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230617_10:24:41.csv
ip_target_validation,36,0,18,1.0,20230617_10:24:41,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230617_10:24:41.csv
no_ip_validation,39,2,13,0.9512195121951219,20230617_10:24:41,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230617_10:24:41.csv
ip_all_validation,29,0,25,1.0,20230618_10:20:00,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230618_10:20:00.csv
ip_last_hop_validation,32,0,22,1.0,20230618_10:20:00,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230618_10:20:00.csv
ip_target_validation,39,0,15,1.0,20230618_10:20:00,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230618_10:20:00.csv
no_ip_validation,46,0,8,1.0,20230618_10:20:00,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230618_10:20:00.csv
ip_all_validation,28,0,25,1.0,20230618_22:57:55,statistics_validation_anycast_host_udp_cloudfare_ip_all_validation_20230618_22:57:55.csv
ip_last_hop_validation,29,0,24,1.0,20230618_22:57:55,statistics_validation_anycast_host_udp_cloudfare_ip_last_hop_validation_20230618_22:57:55.csv
ip_target_validation,38,0,15,1.0,20230618_22:57:55,statistics_validation_anycast_host_udp_cloudfare_ip_target_validation_20230618_22:57:55.csv
no_ip_validation,43,0,10,1.0,20230618_22:57:55,statistics_validation_anycast_host_udp_cloudfare_no_ip_validation_20230618_22:57:55.csv
