,country_code,city,latitude,longitude,type
309,AL,Tirana,41.4147,19.7206,FN
190,BY,Minsk,53.9006,27.599,FN
103,CH,Geneva,46.238098,6.10895,FN
332,CH,Zurich,47.464699,8.54917,FN
111,DE,Hamburg,53.630402,9.98823,FN
94,GB,Edinburgh,55.950001,-3.3725,FN
306,GR,Thessaloniki,40.519699,22.9709,FN
331,HR,Zagreb,45.742901,16.0688,FN
46,HU,Budapest,47.436901,19.2556,FN
73,IE,Cork,51.841301,-8.49111,FN
226,IT,Palermo,38.16114,13.31546,FN
314,IT,Turin,45.191456,7.643049,FN
145,LT,Kaunas,54.9,23.916668,FN
65,MD,Chisinau,46.9277,28.931,FN
31,RS,Belgrade,44.818401,20.309099,FN
146,RU,Khabarovsk,48.528,135.188004,FN
150,RU,Krasnoyarsk,56.0153,92.8932,FN
315,RU,Tver,56.8587,35.9176,FN
327,RU,Yekaterinburg,56.8431,60.6454,FN
106,SE,Gothenburg,57.6628,12.2798,FN
40,SK,Bratislava,48.1486,17.1077,FN
